INVOICE_NO,CUST_ID,ITEM_ID,ITEM_NO,PRODUCT_TYPE,TRX_DATE,QUANTITY
1616070569/88761190,52582,15444273,J3160DC-ITX/M/ASRK,OTHERS,2016/7/12,38
1616071186,47289,15471069,SEELE 暗黑者D3,OTHERS,2016/7/20,5
1616070596/88761232,52582,15140961,Z170 EXTREME6/A/ASRK,OTHERS,2016/7/13,5
CX47345923,2581,15472990,XPGBWT-B1-5A3-S4-F-06(CLEO),OPTICAL AND SENSOR,2016/7/4,3000
1616070383/79213935,12772,15145171,V2043WS,OTHERS,2016/7/8,50
1616070160,47289,15471068,SEELE 裝甲兵PRO,OTHERS,2016/7/5,10
1616070254/79213853,2340200,15312982,DS416J,OTHERS,2016/7/6,1
1616070685/普00871189,3584267,14819946,WD1003FZEX-D,OTHERS,2016/7/14,1
1616071139,47289,15570048,SEELE 零號機,OTHERS,2016/7/19,1
1616071187,47289,15436255,SEELE守衛者S3-R,OTHERS,2016/7/20,1
1616071049/88761532,2431204,15201035,DS416,OTHERS,2016/7/18,1
1616070289,47289,15471973,SEELE 魂之座-TB,OTHERS,2016/7/7,200
1616071460,3830256,15531965,LS27E390HS/XF,OTHERS,2016/7/25,50
1616071506/88761819,2968242,15318063,B150M-A,OTHERS,2016/7/26,5
1616070762/普00871192,3584267,14790349,WD10EZEX-D,OTHERS,2016/7/14,1
1616071685,47289,14671860,WD1003FZEX,OTHERS,2016/7/29,5
1616071460,3830256,15531971,LS32F351FUCXXF,OTHERS,2016/7/25,100
1616070088/79213698,2968246,14818083,H61M-K,OTHERS,2016/7/4,33
1616070960,47289,15245997,SEELE 聖騎士S1-X,OTHERS,2016/7/15,1
1616070036/79213657,3082270,15312000,AG320FC/3W,OTHERS,2016/7/1,3
1616070110/79213717,3082270,15181053,I2381F/BW,OTHERS,2016/7/4,17
A10059027,3082270,15240983,I2279VW,OTHERS,2016/7/12,0
1616071764/88764257,3134245,15540004,I2480SXHE5,OTHERS,2016/7/29,30
1616071116,47289,14671860,WD1003FZEX,OTHERS,2016/7/19,30
1616071161/88761572,3899248,15648011,LH40DCEPLGC/XF,OTHERS,2016/7/19,2
1616071717/88764221,2516202,15201033,DS216PLAY,OTHERS,2016/7/29,4
1616071152/88761563,2340198,15083367,M2470SWD2-H,OTHERS,2016/7/19,30
A10059027,3082270,15334065,I2781F/BW,OTHERS,2016/7/12,0
1616071466/88761791,3539255,15182032,I2380SD,OTHERS,2016/7/25,10
1616071150/88761561,3082270,15071315,I2579VM,OTHERS,2016/7/19,2
A10058690,47289,14935101,980DE3/U3S3 R2/A/ASRK,OTHERS,2016/7/1,-5
1616070404/79213956,43146,14863929,CP-9020096-CN,OTHERS,2016/7/11,144
1616071055,47289,15192100,WD30EZRZ,MEMORY_SYSTEM,2016/7/18,65
1616070596/88761232,52582,15182005,Z170 PRO4S/A/ASRK,OTHERS,2016/7/13,20
1616070333/79213900,2431204,15452141,DS716+II,OTHERS,2016/7/7,4
1616070769/普00871192,3584267,14819952,WD2003FZEX-D,OTHERS,2016/7/14,1
1616070284,47289,15547003,SEELE 裝甲兵PRO-R,OTHERS,2016/7/7,6
1616070461,47289,15471973,SEELE 魂之座-TB,OTHERS,2016/7/12,100
1616070333/79213900,2431204,15455982,DS916+(8GB),OTHERS,2016/7/7,10
A10059145,47289,15471066,SEELE 戰騎士,OTHERS,2016/7/14,-20
1616070313/79213883,2397200,14921004,DS1515+,OTHERS,2016/7/7,1
SR160700193,2089198,10281587,960GM-VGS3 FX/M/ASRK,OTHERS,2016/7/29,0
1616070360,47289,14481833,WD10JPVX,OTHERS,2016/7/8,10
1616071735/88764233,2431204,15352015,DS216J,OTHERS,2016/7/29,4
1616071082/普00871202,3584267,15247091,GOLDEN FIELD KM012-X,OTHERS,2016/7/19,1
1616070310,47289,14790551,WD3003FZEX,OTHERS,2016/7/7,2
,999999999,3222190,SALES-REBATE-WESTERN,OTHERS,,0
1616071665/88764201,2431204,15455982,DS916+(8GB),OTHERS,2016/7/28,4
1616071550/88761863,2089198,15450039,J3160M/M/ASRK,OTHERS,2016/7/27,20
1616070995,47289,15471068,SEELE 裝甲兵PRO,OTHERS,2016/7/18,10
1616070410,47289,15157064,WD5000LPCX,MEMORY_SYSTEM,2016/7/11,30
1616070019/79213651,3736249,14787526,LOUNGE(SLATE GREY),OTHERS,2016/7/1,1
1616070176,47289,15331041,SD8SB8U-1T00-1122,OTHERS,2016/7/5,3
,999999999,14832001,RS3614RPXS,OTHERS,,0
1616070554/88761175,3477246,15185071,Z170-K-H,OTHERS,2016/7/12,5
1616070380/79213932,3233251,14957868,A68HM-E,OTHERS,2016/7/8,25
1616070743/普00871191,3584267,14819950,WD10PURX-D,OTHERS,2016/7/14,1
1616071369,47289,8768587,WD10JUCT,OTHERS,2016/7/22,4
1616070071/普00871181,3584267,15116995,WD1003FBYZ-D,OTHERS,2016/7/4,2
1616070076/79213686,3860250,15604978,F2A68HM-DS2 GR,OTHERS,2016/7/4,220
,999999999,15093976,L4017WVG/WH,OTHERS,,0
1616070380/79213932,3233251,14957869,A68HM-K,OTHERS,2016/7/8,25
1616071419,47289,14909891,WD60PURX,OTHERS,2016/7/25,5
1616071069/普00871198,3584267,15187131,GOLDEN FIELD 小超越 WHITE-X,OTHERS,2016/7/18,1
