INVOICE_NO,CUST_ID,ITEM_ID,ITEM_NO,PRODUCT_TYPE,TRX_DATE,QUANTITY
6H01600057,3525250,15406993,LG-16M38A-B.ATR,OTHERS,2016/7/23,10
6811600269,53409,15406993,LG-16M38A-B.ATR,OTHERS,2016/7/31,50
6E01600473,1359200,15401988,VA2246A-LED,OTHERS,2016/7/12,1
6E01600439,48030,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/2,1
6871600776,49044,15259960,LG-24MP57HQ-P.ATR,OTHERS,2016/7/27,2
A10027498,3604259,15064868,LG-22MP67VQ-P.ATR,OTHERS,2016/7/27,0
A10027563,48662,15240001,GA-H110M-DS2,OTHERS,2016/7/29,0
6881600393,48662,15225133,GA-B150M-D3H,OTHERS,2016/7/30,20
6891601100,52109,14731321,GA-H81M-DS2,CHIPSET / ASP,2016/7/30,150
6D01600105,2647211,15344977,"SSDSC2KW120H6X1,948800",MEMORY_EMBEDED,2016/7/2,10
6871600729,3410277,15344977,"SSDSC2KW120H6X1,948800",MEMORY_EMBEDED,2016/7/19,1
6E01600521,3415258,15288975,BX80662I56400SR2L7,CPU / MPU,2016/7/28,1
6273100,999999999,15082992,XTEAWT-0-4S0-R40-FB-0003,OPTICAL AND SENSOR,2016/7/8,0
316078811,44773,9591587,ADXL362BCCZ-RL7,LINEAR IC,2016/7/22,3000
316073804,38326,15196987,"2SA1832-GR,LF(T",DISCRETE,2016/7/12,6000
316075262,25014,15242227,XPGBWT-H1-7B4-R5-0-06,OPTICAL AND SENSOR,2016/7/14,1000
316073693,54942,15423065,CXA1304-30H-B4-C0H-000A4,OPTICAL AND SENSOR,2016/7/12,1100
316075933,44475,15016784,ADP5034AREZ-R7,LINEAR IC,2016/7/15,1000
316072602,3496246,88870,LL4148-GS08,DISCRETE,2016/7/7,300000
316073262,6294,3167095,PR02000201009JA100,LINEAR IC,2016/7/11,2000
316075904,55118,3328256,AD7606BSTZ,LINEAR IC,2016/7/15,1340
316077049,4845,5974587,SI1016CX-T1-GE3,DISCRETE,2016/7/19,9000
316074751,4637,3316181,"BTA412Y-800B,127",DISCRETE,2016/7/13,1000
316073567,1821198,134994,"BT138-800E,127",DISCRETE,2016/7/11,5000
306071043,28975,15046054,XPEBWT-H1-7B1-R2-0-03,OPTICAL AND SENSOR,2016/7/28,4000
316075591,4805,849616,SI2306BDS-T1-E3,DISCRETE,2016/7/15,15000
306070406,4845,3390329,SI1012CR-T1-GE3,DISCRETE,2016/7/27,45000
6891601068,2942215,14735848,GA-H61M-WW,CHIPSET / ASP,2016/7/28,30
6861600341,49161,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/2,68
6A01600623,2083202,14845991,GA-H81M-S,OTHERS,2016/7/29,15
6881600354,51793,14919044,H91M-S1 PLUS/M/ASRK,OTHERS,2016/7/21,5
6871600682,3422249,15461984,H91M-XT PLUS/M/ASRK,OTHERS,2016/7/2,10
6821600362,3018249,15401981,VA951S,OTHERS,2016/7/30,5
6F01600269,661198,15355971,LG-20M38D-B. ATR,OTHERS,2016/7/30,10
A10027574,48662,15010874,GB-BXI3H-5010-BW,OTHERS,2016/7/29,-5
6891600863,52109,15278979,GA-H170-D3H,OTHERS,2016/7/2,1
6891601100,52109,15041895,GA-B85M-DS3H-A,OTHERS,2016/7/30,30
6841601143,3038314,15367960,"SSDSC2KW240H6X1,948571",MEMORY_SYSTEM,2016/7/29,1
6891601113,3013329,14782210,BX80646I54460SR1QK,CPU / MPU,2016/7/30,1
6831600686,49218,15049903,"SSDSC2BW120H6R5,940117",OTHERS,2016/6/30,0
6891601002,2942215,15278981,GA-H97M-D3H,OTHERS,2016/7/23,25
6871600771,3068253,15419008,LG-19M38A-B.ATR,OTHERS,2016/7/26,5
6871600702,3410277,15240001,GA-H110M-DS2,OTHERS,2016/7/12,3
316076057,44662,3245794,SI7112DN-T1-GE3,DISCRETE,2016/7/16,3000
A10116687,11978,3430202,XPEWHT-L1-WM0-R4-0-07,OPTICAL AND SENSOR,2016/7/7,0
A10116709,33403,14846020,XPGBWT-B1-2C0-R5-0-01,OPTICAL AND SENSOR,2016/7/7,0
316072472,3000246,3783031,LM48511SQX/NOPB,LINEAR IC,2016/7/7,59000
316076139,16736,13214588,TPS65132A0YFFR,LINEAR IC,2016/7/18,3000
316073284,30472,134228,74HC595DT,LOGIC IC,2016/7/11,60000
316077426,47428,15086971,LPT67F-P1Q1-34-1-20-R18-Z-XX,OPTICAL AND SENSOR,2016/7/20,8000
A10116687,11978,3417253,XPEWHT-L1-WM0-R2-0-07,OPTICAL AND SENSOR,2016/7/7,0
306071457,6313,134580,"74HC4051PW,118",LOGIC IC,2016/7/29,15000
316077426,47428,15086969,LOT676-S1S2-34-0-20-R33-Z-JC,OPTICAL AND SENSOR,2016/7/20,72000
316077426,47428,15086973,LYT676-S1S2-45-0-20-R33-Z-JCB,OPTICAL AND SENSOR,2016/7/20,144000
316078355,4637,3224000,"BTA204S-800E,118",DISCRETE,2016/7/22,2500
316073291,1581204,15375998,FJ8066401715843SR2KH,CPU / MPU,2016/7/11,80
316072220,43933,14617741,WD5003ABYZ,OTHERS,2016/7/7,40
6881600375,48662,15516013,GA-Z170XP-SLI,OTHERS,2016/7/28,4
6881600400,359199,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/30,250
6871600841,54237,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/30,25
6G01600111,2203201,14815930,BX80646I74790KSR219,OTHERS,2016/7/2,5
6E01600582,48027,14988891,BX80646G3250SR1K7,CPU / MPU,2016/7/30,10
6831600868,2907209,15648014,GA-J1800M-D3P,OTHERS,2016/7/30,50
6891601045,52109,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/27,3
6891601069,52109,15286972,BX80662I76700KSR2L0,CPU / MPU,2016/7/28,3
6F01600278,48871,14782215,BX80646I34150SR1PJ,CPU / MPU,2016/7/30,75
6D01600112,48922,15010874,GB-BXI3H-5010-BW,OTHERS,2016/7/15,10
A10027548,53856,15278977,GA-Z170M-D3H,OTHERS,2016/7/29,0
6871600705,3410277,15461984,H91M-XT PLUS/M/ASRK,OTHERS,2016/7/13,10
6841601137,3550273,15487025,H110M-DVS R2/M/ASRK,OTHERS,2016/7/29,2
6811600265,49630,14241597,BX80646E31220V3SR154,CPU / MPU,2016/7/30,2
6871600689,54237,14988891,BX80646G3250SR1K7,CPU / MPU,2016/7/2,10
6B01600309,54513,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/2,50
316073399,2333206,14783872,FH8065301615104SR1UU,CPU / MPU,2016/7/11,200
316078125,22173,15202998,WD2004FBYZ,MEMORY_SYSTEM,2016/7/21,40
316078214,41400,3330609,CM1293A-04SO,DISCRETE,2016/7/21,24000
316070428,16736,7122588,BQ24157YFFR,LINEAR IC,2016/7/2,6000
306071414,4785,3336611,TLV70012DDCR,LINEAR IC,2016/7/29,3000
316076619,45014,15056880,TPS61088RHLR,LINEAR IC,2016/7/19,12000
216076540,52419,14863065,CSD68822F4-CF,LINEAR IC,2016/7/26,6000
216074626,55232,111064,SN74LVC1G125DCKR,LOGIC IC,2016/7/20,3000
306071190,47236,3076073,AD420ARZ-32-REEL,LINEAR IC,2016/7/28,2000
316073183,16736,15037898,BQ25890RTWR,LINEAR IC,2016/7/9,3000
316071531,45014,14712356,TAS5538DGGR,LINEAR IC,2016/7/6,4000
216077719,2461,2555016,"PESD5V0S1UB,115",DISCRETE,2016/7/29,81000
216072236,56711,3335175,"BZX84-B5V1,215",DISCRETE,2016/7/11,12000
216076938,52735,15129006,LM3638A0RDYFDR-CF,LINEAR IC,2016/7/27,6000
6G01600137,2203202,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/30,5
6821600325,3018249,15073919,"BOXNUC5I7RYH,942066",CHIPSET / ASP,2016/7/25,10
6I01600649,3278267,15648014,GA-J1800M-D3P,OTHERS,2016/7/23,5
6881600347,48662,15002147,"BOXNUC5I5RYH,936891",OTHERS,2016/7/20,3
6E01600472,48993,14962884,GA-H81M-WW,OTHERS,2016/7/12,10
6841600945,48903,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/15,15
6G01600142,2818215,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/30,1
6I01600708,3112249,15336004,BX80662I36098PSR2NN,CPU / MPU,2016/7/30,5
6A01600476,47816,14988891,BX80646G3250SR1K7,CPU / MPU,2016/7/2,10
A10027556,48662,14845991,GA-H81M-S,OTHERS,2016/7/29,0
6B01600387,49077,15279003,GB-BACE-3000-BRIX,OTHERS,2016/7/30,4
6841601144,47789,15225133,GA-B150M-D3H,OTHERS,2016/7/29,3
6831600709,49218,14929890,BX80644E52690V3SR1XN,CPU / MPU,2016/7/1,2
6E01600450,48369,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/2,50
6881600313,2243207,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/2,15
216070446,54029,148665,SN74LVC125APWR,LOGIC IC,2016/7/2,2000
216073463,52735,14726948,LP5907SNX-2.85/NOPB,LINEAR IC,2016/7/14,9000
216076949,24132,3565591,TPD4E101DPWR,LINEAR IC,2016/7/27,24000
216073039,2146,3420352,TMP103AYFFR,LINEAR IC,2016/7/13,6000
216070083,11148,138454,TMP100NA/3K,LINEAR IC,2016/7/1,3000
216076949,24132,14863069,LM3258NTMX/NOPB-CF,LINEAR IC,2016/7/27,9000
216076949,24132,3565591,TPD4E101DPWR,LINEAR IC,2016/7/27,15000
216071865,9573,9002589,NCN8025AMNTXG,LINEAR IC,2016/7/8,39000
216071936,16450,87139,SN74AHC1G04DCKR,LOGIC IC,2016/7/8,3000
216074484,11146,138455,TMP75AIDR,LINEAR IC,2016/7/19,2500
216078059,34458,3196320,INA210AIDCKR,LINEAR IC,2016/7/29,6000
216074381,2472,149778,SN74LVC1G14DBVR,LOGIC IC,2016/7/19,102000
216073996,56453,126282,MMSD4148T1G,DISCRETE,2016/7/16,63000
216076548,52419,3196360,INA214AIDCKR,LINEAR IC,2016/7/26,6000
SR160800102,9573,3338470,AR8035-AL1A,CHIPSET / ASP,2016/7/31,0
6E01600457,48050,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/2,2
6841601159,53273,15288976,BX80662I56500SR2L6,CPU / MPU,2016/7/30,10
6841601167,53273,15278978,GA-H170-GAMING 3,OTHERS,2016/7/30,3
6891600867,3535253,15286972,BX80662I76700KSR2L0,CPU / MPU,2016/7/2,2
6G01600142,2818215,15336088,BX80662I56402PSR2NJ,CPU / MPU,2016/7/30,3
6891601038,3535253,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/27,2
6K01600124,3332260,15549964,LG-16M38I-B.ATR,OTHERS,2016/7/21,25
A10027563,48662,14845991,GA-H81M-S,OTHERS,2016/7/29,0
A10027539,48239,15461984,H91M-XT PLUS/M/ASRK,OTHERS,2016/7/29,0
6811600265,49630,15383972,BX80660E52620V4SR2R6,CPU / MPU,2016/7/30,1
6871600681,48366,14815930,BX80646I74790KSR219,OTHERS,2016/7/2,1
6891601115,48862,14988891,BX80646G3250SR1K7,CPU / MPU,2016/7/30,30
6B01600382,644201,15352010,VA1903A,OTHERS,2016/7/30,2
6841601177,53273,15336088,BX80662I56402PSR2NJ,CPU / MPU,2016/7/30,180
6881600326,359199,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/7,10
6831600851,2907209,14845991,GA-H81M-S,OTHERS,2016/7/29,300
216078119,57578,149991,SN74LVC1G32DCKR,LOGIC IC,2016/7/29,9000
216073455,52735,15005912,LM3539A0YFFR-CF,LINEAR IC,2016/7/14,24000
216077177,98198,137792,SN74AUC1G07DCKR,LOGIC IC,2016/7/27,3000
216074867,2472,111064,SN74LVC1G125DCKR,LOGIC IC,2016/7/20,9000
216076934,52735,14327726,LP5907UVX-1.8/NOPB,LINEAR IC,2016/7/27,3000
216076437,34458,14863076,LM3638A1YFDR-CF,LINEAR IC,2016/7/26,3000
216076540,52419,14863076,LM3638A1YFDR-CF,LINEAR IC,2016/7/26,15000
216077791,33431,566391,TPS79330YZQR,LINEAR IC,2016/7/29,3000
216076934,52735,14738951,LP5907UVX2.925-S,LINEAR IC,2016/7/27,9000
216076934,52735,14738951,LP5907UVX2.925-S,LINEAR IC,2016/7/27,9000
216077151,2194,3423357,LM5116MHX/NOPB,LINEAR IC,2016/7/27,2500
216072200,2717205,148486,SN74LV164APWR,LOGIC IC,2016/7/11,2000
216078056,2292,15385983,LP5908UVX-1.8/NOPB-CF,LINEAR IC,2016/7/29,300000
216076934,52735,14738951,LP5907UVX2.925-S,LINEAR IC,2016/7/27,3000
6E01600498,2974245,15278976,GA-H110M-S2,OTHERS,2016/7/22,10
6I01600579,48445,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/2,2
6K01600121,3332261,15334133,LG-24MP88HM-S.ATR,OTHERS,2016/7/21,2
A10027498,3604259,15306063,LG-20M38H-B.ATR,OTHERS,2016/7/27,0
6I01600564,3057242,14920945,GA-H81M-S2PH,OTHERS,2016/7/1,5
6821600285,3018249,14790248,BX80646G3240SR1K6,CPU / MPU,2016/7/2,600
6I01600643,49121,15549964,LG-16M38I-B.ATR,OTHERS,2016/7/22,5
6E01600513,47895,14811865,H81M-WW/M/ASRK,OTHERS,2016/7/27,10
A10027573,53273,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/29,-5
6841601177,53273,15288976,BX80662I56500SR2L6,CPU / MPU,2016/7/30,25
6821600271,57886,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/1,5
A10027273,666200,15336004,BX80662I36098PSR2NN,CPU / MPU,2016/7/19,0
A10027459,2942215,15517966,GA-Z97-HD3,OTHERS,2016/7/26,0
6891601079,3857254,15041895,GA-B85M-DS3H-A,OTHERS,2016/7/29,1
6881600352,48662,15344977,"SSDSC2KW120H6X1,948800",MEMORY_EMBEDED,2016/7/21,5
6I01600635,48869,15306063,LG-20M38H-B.ATR,OTHERS,2016/7/21,2
6821600298,3018249,14766878,BX80646I74790SR1QF,CPU / MPU,2016/7/12,45
216073847,6247,142998,LMV331IDCKR,LINEAR IC,2016/7/15,12000
216073286,34458,14738951,LP5907UVX2.925-S,LINEAR IC,2016/7/14,15000
216076938,52735,14863073,LM3564A1TMX/NOPB-CF,LINEAR IC,2016/7/27,42000
216070759,2409,126570,BAT54SLT1G,DISCRETE,2016/7/5,3000
216074390,11109,2938077,"PMR280UN,115",DISCRETE,2016/7/19,78000
216072433,2377,3336149,"2N7002BK,215",DISCRETE,2016/7/12,15000
216078188,2507,140946,SN74AHCT1G126DBVR,LOGIC IC,2016/7/30,3000
216076377,6247,142998,LMV331IDCKR,LINEAR IC,2016/7/26,30000
216073449,34458,14726948,LP5907SNX-2.85/NOPB,LINEAR IC,2016/7/14,15000
216077458,21456,14728069,NCP3064BMNTXG,LINEAR IC,2016/7/28,4000
216072564,4094,135051,"2N7002K,215",DISCRETE,2016/7/12,15210
216070003,2065,3366184,"PMEG4050EP,115",DISCRETE,2016/7/1,12000
216076014,11148,3327815,THS7347IPHPR,LINEAR IC,2016/7/25,4000
216076939,52735,15083406,LP5907SNX-2.75,LINEAR IC,2016/7/27,6000
6821600280,3018249,14869912,BX80648I75960XSR20Q,CPU / MPU,2016/7/2,5
6881600397,47996,14782215,BX80646I34150SR1PJ,CPU / MPU,2016/7/30,25
A10027297,49131,14845991,GA-H81M-S,OTHERS,2016/7/20,0
A10027307,49630,14731323,GA-H61M-DS2,CHIPSET / ASP,2016/7/20,0
6E01600543,47789,14962884,GA-H81M-WW,OTHERS,2016/7/29,10
6831600787,671204,15401986,TD2220,OTHERS,2016/7/21,2
6891601095,48862,15542992,LG-19M38H-B.ATR,OTHERS,2016/7/30,15
6861600391,666200,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/28,5
A10027545,54713,15419008,LG-19M38A-B.ATR,OTHERS,2016/7/29,0
6821600319,48850,15405990,"SSDSC2KW480H6X1,948573",MEMORY_SYSTEM,2016/7/22,4
A10027197,49064,15049902,"SSDSC2BW240H6R5,940119",OTHERS,2016/7/13,-5
6841600906,2503224,15283965,BX80662I56600SR2L5,CPU / MPU,2016/7/11,2
6B01600352,47798,14845991,GA-H81M-S,OTHERS,2016/7/23,50
A10027341,47808,14787350,H61M-S1 PLUS/M/ASRK,OTHERS,2016/7/20,0
6B01600375,48690,14845991,GA-H81M-S,OTHERS,2016/7/29,50
A10027337,49161,15240001,GA-H110M-DS2,OTHERS,2016/7/20,0
216076458,11146,3114083,2N7002KT1G,DISCRETE,2016/7/26,27000
216076105,4728,150118,SN74LVC2G32DCUR,LOGIC IC,2016/7/25,3000
216072200,2717205,70072,MMBT3906LT1G,DISCRETE,2016/7/11,45000
216074696,54029,9072587,TPS27081ADDCR,LINEAR IC,2016/7/20,3000
216076354,3183262,142996,LMV331IDBVR,LINEAR IC,2016/7/26,27000
216077955,11146,70589,2N7002LT1G,DISCRETE,2016/7/29,3000
216074406,11146,26001,"2N7002,215",DISCRETE,2016/7/19,3000
216074486,11146,70324,SN74LVC1G3157DCKR,LOGIC IC,2016/7/19,3000
216076932,52735,14863073,LM3564A1TMX/NOPB-CF,LINEAR IC,2016/7/27,33000
216076540,52419,5644588,TPS3898PDRYR,LINEAR IC,2016/7/26,10000
216075777,2472,148735,SN74LVC1G04DCKR,LOGIC IC,2016/7/22,12000
216071305,34458,3196320,INA210AIDCKR,LINEAR IC,2016/7/6,138000
216074785,27837,6500596,"TC7SZ17FU(TE85L,JF",LOGIC IC,2016/7/20,24000
216076558,34458,6551590,385S0141,DISCRETE,2016/7/26,4600
6831600849,1448198,14845991,GA-H81M-S,OTHERS,2016/7/29,2000
A10027546,1448198,14962884,GA-H81M-WW,OTHERS,2016/7/29,0
6A01600620,1679199,15288975,BX80662I56400SR2L7,CPU / MPU,2016/7/29,5
6D01600117,48922,15549964,LG-16M38I-B.ATR,OTHERS,2016/7/29,150
A10027494,52109,15542992,LG-19M38H-B.ATR,OTHERS,2016/7/27,0
6G01600141,2203201,15336088,BX80662I56402PSR2NJ,CPU / MPU,2016/7/30,5
6881600301,49064,15367960,"SSDSC2KW240H6X1,948571",MEMORY_SYSTEM,2016/7/2,4
6871600842,2342203,15336088,BX80662I56402PSR2NJ,CPU / MPU,2016/7/30,5
6E01600462,56127,14929876,BX80646I54440SSR14L,CPU / MPU,2016/7/2,5
6831600708,48654,15467960,CM8066002041900SR2P5,CPU / MPU,2016/7/1,4
6I01600680,3069261,15404968,GA-H110M-S2PH,OTHERS,2016/7/29,10
6841601160,1500201,14962884,GA-H81M-WW,OTHERS,2016/7/30,300
6E01600568,48027,14782215,BX80646I34150SR1PJ,CPU / MPU,2016/7/30,20
6871600810,3289242,15406993,LG-16M38A-B.ATR,OTHERS,2016/7/30,10
A10027233,667202,15423965,LG-24MN48A-PT.BTR,OTHERS,2016/7/15,-10
6871600823,48472,15406993,LG-16M38A-B.ATR,OTHERS,2016/7/30,5
216076655,24132,14863076,LM3638A1YFDR-CF,LINEAR IC,2016/7/26,6000
216076932,52735,14863073,LM3564A1TMX/NOPB-CF,LINEAR IC,2016/7/27,15000
216071738,52735,14863069,LM3258NTMX/NOPB-CF,LINEAR IC,2016/7/7,6000
216077787,37619,14188603,"CES521,L3SONYF(T",DISCRETE,2016/7/29,80000
216077854,57578,3223283,SIS412DN-T1-GE3,DISCRETE,2016/7/29,3000
216077787,37619,14188603,"CES521,L3SONYF(T",DISCRETE,2016/7/29,48000
216072442,2793,122856,TZX14C-TAP,DISCRETE,2016/7/12,10000
216074046,472198,88411,"BAS316,115",DISCRETE,2016/7/18,21000
216076077,3527245,14838015,TPS56428DDAR,LINEAR IC,2016/7/25,20000
216072883,2717205,15010019,NCP81241MNTXG,LINEAR IC,2016/7/13,160
216074699,56711,3365029,"2SK3569(STA4,X,S)",DISCRETE,2016/7/20,3000
216077940,4094,2325019,"2SK3767(STA4,Q,M)",DISCRETE,2016/7/29,4000
216075433,9573,14838015,TPS56428DDAR,LINEAR IC,2016/7/22,15000
216077952,24132,14726948,LP5907SNX-2.85/NOPB,LINEAR IC,2016/7/29,3000
216070630,2860209,15142075,CSD68827W-CF,LINEAR IC,2016/7/4,24000
6821600362,3018249,15648032,VA2219-SH,OTHERS,2016/7/30,5
6811600227,53407,15139051,"BOXNUC5PPYH,943203",CHIPSET / ASP,2016/7/21,5
6831600708,48654,3308975,"EXPI9301CTBLK,893647",OTHERS,2016/7/1,100
6E01600510,2974245,15336004,BX80662I36098PSR2NN,CPU / MPU,2016/7/27,20
6A01600520,47816,15322968,GA-X150 PLUS WS,OTHERS,2016/7/18,5
6I01600668,3278266,14929876,BX80646I54440SSR14L,CPU / MPU,2016/7/27,1
A10027332,47798,14845991,GA-H81M-S,OTHERS,2016/7/20,0
6841601161,52022,14735848,GA-H61M-WW,CHIPSET / ASP,2016/7/30,30
6I01600655,3119261,15278976,GA-H110M-S2,OTHERS,2016/7/23,1
6841600950,1359200,15401988,VA2246A-LED,OTHERS,2016/7/18,25
6K01600131,3332260,15307088,LG-22M38D-B.ATR,OTHERS,2016/7/25,5
6831600875,671204,15334133,LG-24MP88HM-S.ATR,OTHERS,2016/7/30,5
6E01600496,2974245,15352010,VA1903A,OTHERS,2016/7/21,5
6891601070,3013329,15288972,BX80662I56600KSR2L4,CPU / MPU,2016/7/28,1
6831600709,49218,15090020,CM8065802482901SR2B1,CPU / MPU,2016/7/1,5
6B01600338,660200,15355971,LG-20M38D-B. ATR,OTHERS,2016/7/15,2
216076025,2100,5055590,"2SA2056(TE85L,F)",DISCRETE,2016/7/25,3000
216077491,4094,3772606,"TK13A65U(STA4,X,M)",DISCRETE,2016/7/28,32046
216072088,15611,14107595,VS-5ECH06-M3/9AT,DISCRETE,2016/7/8,3500
216075301,2192,126078,BAV99WT1G,DISCRETE,2016/7/21,3000
216070735,2409,3370941,"BSS138PS,115",DISCRETE,2016/7/5,6000
216073799,33431,126544,MMBT2907AWT1G,DISCRETE,2016/7/15,3000
216073008,33431,14787343,SURS8220T3G,DISCRETE,2016/7/13,2500
216073418,27495,14665754,PUSB3F96X,DISCRETE,2016/7/14,380000
216075683,6232,8929597,TSOP75438TR,DISCRETE,2016/7/22,2300
216073808,3558,1307777,US1M-E3/61T,DISCRETE,2016/7/15,3600
216074406,11146,135739,"1PS79SB30,115",DISCRETE,2016/7/19,3000
216073008,33431,14782206,NSV1C201LT1G,DISCRETE,2016/7/13,3000
216074409,11146,2072859,"BAT721S,215",DISCRETE,2016/7/19,3000
216070255,2174,70415,MMBT3904LT1G,DISCRETE,2016/7/1,33000
216074726,2507,3183220,M74VHC1GT08DFT2G,LOGIC IC,2016/7/20,3000
6811600226,3881255,15383972,BX80660E52620V4SR2R6,CPU / MPU,2016/7/19,1
A10027550,48064,15278976,GA-H110M-S2,OTHERS,2016/7/29,0
6I01600681,1738199,15278976,GA-H110M-S2,OTHERS,2016/7/29,10
6K01600126,3332261,15336004,BX80662I36098PSR2NN,CPU / MPU,2016/7/21,5
6E01600553,47789,14998055,"BKCMAV1YRENG,936773",OTHERS,2016/7/30,100
6A01600559,48481,15352007,LG-20MP48A-P.ATR,OTHERS,2016/7/23,4
6841601153,53784,15549964,LG-16M38I-B.ATR,OTHERS,2016/7/30,10
6F01600247,2138199,14845991,GA-H81M-S,OTHERS,2016/7/22,10
6I01600690,3517250,14845991,GA-H81M-S,OTHERS,2016/7/29,20
6E01600502,3415258,15002147,"BOXNUC5I5RYH,936891",OTHERS,2016/7/25,1
6E01600480,48239,14787350,H61M-S1 PLUS/M/ASRK,OTHERS,2016/7/15,10
6E01600438,47885,14929876,BX80646I54440SSR14L,CPU / MPU,2016/7/1,2
6831600705,671203,15419008,LG-19M38A-B.ATR,OTHERS,2016/7/1,162
6871600693,48312,14929876,BX80646I54440SSR14L,CPU / MPU,2016/7/2,5
6C01600283,48064,15278969,GA-Z170X-GAMING 3,OTHERS,2016/7/30,2
6871600733,3289242,15336088,BX80662I56402PSR2NJ,CPU / MPU,2016/7/20,5
216070329,2860209,15122023,NTND3184NZTAG,DISCRETE,2016/7/1,16000
216073235,11138,70509,"BAV99,215",DISCRETE,2016/7/14,39000
216074411,11146,2797101,2N7002ET1G,DISCRETE,2016/7/19,12000
216076930,52735,14863064,CSD68815W15-CF,LINEAR IC,2016/7/27,6000
216071819,9573,135817,"PMBTA42,215",DISCRETE,2016/7/8,6000
216077900,51693,70509,"BAV99,215",DISCRETE,2016/7/29,3000
216071710,4094,15001977,"PBSS4032SPN,115",DISCRETE,2016/7/7,4310
216075301,2192,70415,MMBT3904LT1G,DISCRETE,2016/7/21,3000
216071305,34458,14863019,CD3282A1YFPR-CF,LOGIC IC,2016/7/6,15000
216073200,2146,5643589,TPS3897PDRYR,LINEAR IC,2016/7/14,55000
216073845,43844,135789,"BAS321,115",DISCRETE,2016/7/15,66000
216075301,2192,126993,MBR0530T1G,DISCRETE,2016/7/21,3000
216070943,2507,129611,NCP1117STAT3G,LINEAR IC,2016/7/5,4000
216070169,3564,3338184,NCP1236BD65R2G,LINEAR IC,2016/7/1,30000
6841601156,47789,14998055,"BKCMAV1YRENG,936773",OTHERS,2016/7/30,40
6B01600308,48690,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/2,2
6871600800,54237,15419008,LG-19M38A-B.ATR,OTHERS,2016/7/29,25
6I01600686,2053198,14845991,GA-H81M-S,OTHERS,2016/7/29,100
6A01600637,48115,15336004,BX80662I36098PSR2NN,CPU / MPU,2016/7/30,2
6861600395,3095252,15352010,VA1903A,OTHERS,2016/7/29,10
6871600722,48699,15406993,LG-16M38A-B.ATR,OTHERS,2016/7/18,20
A10027456,3535253,15352010,VA1903A,OTHERS,2016/7/26,0
A10027249,3722253,15352010,VA1903A,OTHERS,2016/7/15,0
6I01600663,3209255,15064867,LG-19M37A-B.ATR,OTHERS,2016/7/25,1
6E01600464,56127,14846195,H81M-VG4 R2./M/ASRK,OTHERS,2016/7/6,20
A10027073,49064,15351014,DBS2600CW2R,OTHERS,2016/7/1,-5
6891601076,3639248,15278199,GA-Z170X-UD5 TH,OTHERS,2016/7/29,1
6891600921,48199,15280990,BX80662I76700SR2L2,CPU / MPU,2016/7/15,2
A10027236,48220,14782215,BX80646I34150SR1PJ,CPU / MPU,2016/7/15,0
6871600798,3289242,14845991,GA-H81M-S,OTHERS,2016/7/29,150
216071738,52735,14863063,TPS65730A0PYFFR-CF,LINEAR IC,2016/7/7,18000
216073464,34458,3342403,TPS22920YZPR,LOGIC IC,2016/7/14,15000
216075769,27837,3372210,TPS51206DSQR,LINEAR IC,2016/7/22,15000
216071063,2192,126993,MBR0530T1G,DISCRETE,2016/7/6,3000
216076352,11138,70057,MMBT2222ALT1G,DISCRETE,2016/7/26,268000
216077940,4094,2146794,"BZV55-B12,115",DISCRETE,2016/7/29,2600
216074486,11146,5020591,TPS53603ADRGR,LINEAR IC,2016/7/19,12000
216074802,2377,3298675,NCP1608BDR2G,LINEAR IC,2016/7/20,182500
216078116,57578,3564613,NTMFS4955NT1G,DISCRETE,2016/7/29,3000
216077955,11146,3188486,MBR230LSFT1G,DISCRETE,2016/7/29,3000
216077885,27495,134699,"BC847BW,115",DISCRETE,2016/7/29,93000
216076315,2292,14729899,TPS70933DRVR,LINEAR IC,2016/7/26,30000
216077177,98198,131387,NL17SZ08DFT2G,LOGIC IC,2016/7/27,3000
216072037,2292,3328335,TPS62240DRVR,LINEAR IC,2016/7/8,9000
216076120,5365,126109,MMBTA06LT1G,DISCRETE,2016/7/25,6000
6A01600459,48115,15288976,BX80662I56500SR2L6,CPU / MPU,2016/7/1,1
6H01600062,3409253,15307088,LG-22M38D-B.ATR,OTHERS,2016/7/30,5
6811600246,3105241,15352010,VA1903A,OTHERS,2016/7/28,4
